iter	Passed	Remaining
0	0	40
1	0	38
2	1	36
3	1	35
4	1	36
5	2	35
6	2	34
7	2	33
8	3	32
9	3	31
10	3	31
11	4	30
12	4	30
13	4	29
14	5	29
15	5	28
16	5	28
17	6	28
18	6	27
19	6	27
20	7	26
21	7	26
22	7	26
23	8	25
24	8	25
25	8	24
26	9	24
27	9	24
28	9	23
29	10	23
30	10	23
31	10	22
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	19
41	14	19
42	14	19
43	14	18
44	15	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	22	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	25	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	26	5
82	27	5
83	27	5
84	28	4
85	28	4
86	28	4
87	29	3
88	29	3
89	29	3
90	30	2
91	30	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	32	0
98	32	0
99	32	0
